pub_doi,ds_doi,ds_short_name,ds_title,pub_title,pub_journal,pub_year,pub_keywords
10.1029/2021GC009658,10.5067/AQUA/MODIS/L3M/PAR/2018,,Aqua/MODIS Level-3 Mapped Photosynthetically Available Radiation Data Version 2018,Controls on Alkenone Carbon Isotope Fractionation in the Modern Ocean,,,
10.1029/2021GC009658,10.5067/ORBVIEW-2/SEAWIFS/L3M/KD/2018,,SeaWiFS Level-3 Mapped Downwelling Diffuse Attenuation Coefficient Data Version 2018,Controls on Alkenone Carbon Isotope Fractionation in the Modern Ocean,,,
10.1029/2021GC009658,10.5067/ORBVIEW-2/SEAWIFS/L3M/PAR/2018,,MODIS-Terra Level 3 Mapped Photosynthetically Available Radiation Data Version R2018.0,Controls on Alkenone Carbon Isotope Fractionation in the Modern Ocean,,,
10.1016/j.agrformet.2021.108735,10.5067/MODIS/MCD43C4.006,,MODIS/Terra+Aqua BRDF/Albedo Nadir BRDF-Adjusted Ref Daily L3 Global 0.05Deg CMG V006,Global quantification of the bidirectional dependency between soil moisture and vegetation productivity,,,
10.1016/j.rse.2021.112808,10.5067/MODIS/MYD09GA.006,,MODIS/Aqua Surface Reflectance Daily L2G Global 1kmand 500m SIN Grid V006,How long did crops survive from floods caused by Cyclone Idai in Mozambique detected with multi-satellite data,,,
10.1016/j.rse.2021.112808,10.5067/MODIS/MOD09GA.006,,MODIS/Terra Surface Reflectance Daily L2G Global 1km and 500m SIN Grid V006,How long did crops survive from floods caused by Cyclone Idai in Mozambique detected with multi-satellite data,,,
10.1016/j.rse.2021.112802,10.5067/RRR4WWORG070,,"AMSR-E/Aqua Daily Global Quarter-Degree Gridded Brightness Temperatures, Version 1",Improving surface soil moisture retrievals through a novel assimilation algorithm to estimate both model and observation errors,,2021,
10.1186/s13717-021-00340-2,10.5067/MODIS/MOD17A2HGF.006,,MODIS/Terra Gross Primary Productivity Gap-Filled 8-Day L4 Global 500m SIN Grid V006,Lateral detrital C transfer across a Spartina alterniflora invaded estuarine wetland,,,
10.1016/j.rse.2021.112800,10.5067/MODIS/MCD12Q2.006,,MODIS/Terra+Aqua Land Cover Dynamics Yearly L3 Global 500m SIN Grid V006,Mapping burn severity in the western Italian Alps through phenologically coherent reflectance composites derived from Sentinel-2 imagery,,,
10.5194/acp-21-16645-2021,10.5067/Aura/MLS/DATA2005,,MLS/Aura L2 Carbon Monoxide (CO) Mixing Ratio - Version 4,Microwave Limb Sounder (MLS) observations of biomass burning products in the stratosphere from Canadian forest fires in August 2017,,,
10.5194/acp-21-16645-2021,10.5067/Aura/MLS/DATA2009,,MLS/Aura L2 Water Vapor (H2O) Mixing Ratio - Version 4,Microwave Limb Sounder (MLS) observations of biomass burning products in the stratosphere from Canadian forest fires in August 2017,,,
10.5194/acp-21-16645-2021,10.5065/D6M043C6,,"NCEP FNL Operational Model Global Tropospheric Analyses, continuing from July 1999",Microwave Limb Sounder (MLS) observations of biomass burning products in the stratosphere from Canadian forest fires in August 2017,,,
10.5194/acp-21-16645-2021,10.5067/ISS/SAGEIII/SOLAR_BINARY_L2-V5.1,,SAGE III/ISS L2 Solar Event Species Profiles (Native) V051,Microwave Limb Sounder (MLS) observations of biomass burning products in the stratosphere from Canadian forest fires in August 2017,,,
10.1175/BAMS-D-20-0243.1,10.5067/W9FOYWH0EQZ3,,"Canadian Meteorological Centre (CMC) Daily Snow Depth Analysis Data, Version 1","Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/0GGPB220EX6A,,"Daily 4 km Gridded SWE and Snow Depth from Assimilated In-Situ and Modeled Data over the Conterminous US, Version ","Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/8AE2ILXB5SM6,,"AMSR-E/AMSR2 Unified L3 Global Daily 25 km EASE-Grid Snow Water Equivalent, Version 1","Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.3334/ORNLDAAC/1840,,"Daymet: Daily Surface Weather Data on a 1-km Grid for North America, Version 4","Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/T4OW83T8EXDO,,NLDAS Noah Land Surface Model L4 Hourly 0.125 x 0.125 degree V2.0 (NLDAS_NOAH0125_H),"Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/342OHQM9AK6Q,,GLDAS Noah Land Surface Model L4 3 hourly 0.25 x 0.25 degree V2.0 (GLDAS_NOAH025_3H),"Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/8S35XF81C28F,,"MERRA-2 tavgM_2d_lnd_Nx: 2d,Monthly mean,Time-Averaged,Single-Level,Assimilation,Land Surface Diagnostics V5.12.4 (M2TMNXLND)","Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/ELBDAPAKNGJ9,,NLDAS VIC Land Surface Model L4 Hourly 0.125 x 0.125 degree V002 (NLDAS_VIC0125_H),"Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1175/BAMS-D-20-0243.1,10.5067/EN4MBWTCENE5,,NLDAS Mosaic Land Surface Model L4 Hourly 0.125 x 0.125 degree V002 (NLDAS_MOS0125_H),"Observing, Measuring, and Assessing the Consequences of Snow Drought",,,
10.1016/j.scitotenv.2021.151607,10.5067/MODIS/MCD12C1.006,,MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 0.05Deg CMG V006,Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.scitotenv.2021.151607,10.5067/MODIS/MOD13C2.006,,MODIS/Terra Vegetation Indices Monthly L3 Global 0.05Deg CMG V006,Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.scitotenv.2021.151607,10.5067/MODIS/MOD08_M3.061,,MODIS/Terra Aerosol Cloud Water Vapor Ozone Monthly L3 Global 1Deg CMG,Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.scitotenv.2021.151607,10.24381/cds.bd0915c6,,ERA5 hourly data on pressure levels from 1979 to present,Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.scitotenv.2021.151607,10.5067/TERRA/CERES/SSF1DEGHOUR_L3.004,,"CERES Regionally Averaged TOA Fluxes, Clouds and Aerosols Hourly Terra Edition4A",Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.scitotenv.2021.151607,10.5067/AQUA/CERES/SSF1DEGHOUR_L3.004,,"CERES Regionally Averaged TOA Fluxes, Clouds and Aerosols Hourly Aqua Edition4A",Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.scitotenv.2021.151607,10.5067/TERRA+AQUA/CERES/SYN1DEG-1HOUR_L3.004A,,"CERES and GEO-Enhanced TOA, Within-Atmosphere and Surface Fluxes, Clouds and Aerosols 1-Hourly Terra-Aqua Edition4A",Planetary albedo decline over Northwest India contributing to near surface warming,,,
10.1016/j.sciaf.2021.e01020,10.5067/MODIS/MOD13Q1.006,,MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid V006,Prediction of NDVI using the Holt-Winters model in high and low vegetation regions: A case study of East Africa,,,
10.1016/j.jhydrol.2021.127234,10.5067/LYHA9088MFWQ,,"GLDAS Catchment Land Surface Model L4 daily 0.25 x 0.25 degree, Version 2.0",Reconstructing groundwater storage variations from GRACE observations using a new Gaussian-Han-Fan (GHF) smoothing approach,,,
10.1016/j.jhydrol.2021.127234,10.5067/LWTYSMP3VM5Z,,GLDAS Noah Land Surface Model L4 monthly 1.0 x 1.0 degree V2.1 (GLDAS_NOAH10_M),Reconstructing groundwater storage variations from GRACE observations using a new Gaussian-Han-Fan (GHF) smoothing approach,,,
10.1175/JCLI-D-21-0301.1,10.5067/7Q8HCCWS4I0R,,"Bootstrap Sea Ice Concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS, Version 3",Understanding the Forecast Skill of Rapid Arctic Sea Ice Loss on Subseasonal Timescales,,,
10.1175/JCLI-D-21-0301.1,10.5067/8GQ8LZQVL0VL,,"Sea Ice Concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS Passive Microwave Data, Version 1",Understanding the Forecast Skill of Rapid Arctic Sea Ice Loss on Subseasonal Timescales,,,
10.1016/j.jenvman.2020.111712,10.5067/MODIS/MCD12Q1.006,MCD12Q1,MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 500m SIN Grid V006,20 years of landscape dynamics within the world's largest multinational network of protected areas,,,
10.1016/j.jenvman.2020.111712,10.5067/MODIS/MOD15A2H.006,MOD15A2H,MODIS/Terra Leaf Area Index/FPAR 8-Day L4 Global 500m SIN Grid V006,20 years of landscape dynamics within the world's largest multinational network of protected areas,,,
10.5194/acp-19-7445-2019,10.5067/AURA/OMI/DATA2017,,OMI/Aura Nitrogen Dioxide (NO2) Total and Tropospheric Column 1-orbit L2 Swath 13x24 km,2005-2017 ozone trends and potential benefits of local measures as deduced from air quality measurements in the north of the Barcelona metropolitan area,Atmospheric Chemistry and Physics,2019,
10.5194/bg-14-2641-2017,10.3334/ORNLDAAC/615,,"NPP Multi-Biome: NPP and Driver Data for Ecosystem Model-data Intercomparison, R2",20th century changes in carbon isotopes and water-use efficiency: tree-ring-based evaluation of the CLM4.5 and LPX-Bern models,Biogeosciences,2016,
10.1038/s41467-017-02771-y,10.5067/MODIS/MOD09A1.006,MOD09A1,MODIS/Terra Surface Reflectance 8-Day L3 Global 500m SIN Grid V006,21st century drought-related fires counteract the decline of Amazon deforestation carbon emissions,,,
10.1038/s41467-017-02771-y,10.5067/MODIS/MOD09GA.NRT.006,MOD09GA,MODIS/Terra Near Real Time (NRT) Surface Reflectance Daily L2G Global 1km and 500m SIN Grid,21st century drought-related fires counteract the decline of Amazon deforestation carbon emissions,,,
10.1038/s41467-017-02771-y,10.5067/MODIS/MOD09GQ.NRT.006,MOD09GQ,MODIS/Terra Near Real Time (NRT) Surface Reflectance Daily L2G Global 250m SIN Grid,21st century drought-related fires counteract the decline of Amazon deforestation carbon emissions,,,
10.1038/s41467-017-02771-y,10.5067/MODIS/MOD09Q1.006,MOD09Q1,MODIS/Terra Surface Reflectance 8-Day L3 Global 250m SIN Grid V006,21st century drought-related fires counteract the decline of Amazon deforestation carbon emissions,,,
10.1029/2011GL050834,10.3334/ORNLDAAC/974,,"ISLSCP II Global Gridded Gross Domestic Product (GDP), 1990 ",21st century runoff sensitivities of major global river basins,Geophysical Research Letters,2012,
10.3390/rs13050920,10.5067/MODIS/MCD19A2.006,MCD19A2,MODIS/Terra+Aqua Land Aerosol Optical Thickness Daily L2G Global 1km SIN Grid V006,250‐m aerosol retrieval from fy‐3 satellite in guangzhou,,,
10.5194/acp-12-3219-2012,10.3334/ORNLDAAC/849,,"Global Fire Emissions Database, Version 2.1 ",3-D evaluation of tropospheric ozone simulations by an ensemble of regional Chemistry Transport Model,,2012,
10.5194/acpd-11-28797-2011,10.3334/ORNLDAAC/834,,"Global Fire Emissions Database, Version 2 (GFEDv2)",3-D evaluation of tropospheric ozone simulations by an ensemble of regional Chemistry Transport Model,,2011,
10.3390/rs11050489,10.5067/MODIS/MOD44B.006,MOD44B,MODIS/Terra Vegetation Continuous Fields Yearly L3 Global 250m SIN Grid V006,30m resolution global annual burned area mapping based on landsat images and Google Earth Engine,ArXiv,2018,
10.1111/1365-2656.13441,10.5067/ASTER/ASTGTM.003,ASTGTM,ASTER Global Digital Elevation Model V003,A ‘How to’ guide for interpreting parameters in habitat-selection analyses,,,
10.1029/2020JD033657,10.5067/AURA/MLS/DATA2009,,MLS/Aura L2 Water Vapor (H2O) Mixing Ratio - Version 4,A 13‐year Trajectory‐Based Analysis of Convection‐Driven Changes in Upper Troposphere Lower Stratosphere Composition Over the United States,Journal of Geophysical Research: Atmospheres,2020,
10.1029/2020JD033657,10.5067/AURA/MLS/DATA2017,,MLS/Aura L2 Ozone (O3) Mixing Ratio - Version 4,A 13‐year Trajectory‐Based Analysis of Convection‐Driven Changes in Upper Troposphere Lower Stratosphere Composition Over the United States,Journal of Geophysical Research: Atmospheres,2020,
10.1029/2020JD033657,10.5067/AURA/MLS/DATA2021,,MLS/Aura L2 Temperature - Version 4,A 13‐year Trajectory‐Based Analysis of Convection‐Driven Changes in Upper Troposphere Lower Stratosphere Composition Over the United States,Journal of Geophysical Research: Atmospheres,2020,
10.1029/2020JD033657,10.5067/AURA/MLS/DATA2005,,MLS/Aura L2 Carbon Monoxide (CO) Mixing Ratio - Version 4,A 13‐year Trajectory‐Based Analysis of Convection‐Driven Changes in Upper Troposphere Lower Stratosphere Composition Over the United States,Journal of Geophysical Research: Atmospheres,2020,
10.1175/MWR-D-20-0178.1,10.5067/WWQSXQ8IVFW8,,"MERRA-2 inst3_3d_asm_Nv: 3d,3-Hourly,Instantaneous,Model-Level,Assimilation,Assimilated Meteorological Fields V5.12.4",A 23-Year Severe Hail Climatology Using GridRad MESH Observations,Monthly Weather Review,2021,
10.3390/w11061285,10.5067/NAVOC-318DY,,AVHRR NAVOCEANO Level 3 18km Multi-Channel SST Daytime,A 60-Year Time Series Analyses of the Upwelling along the Portuguese Coast,Water,2019,
10.3390/w11061285,10.5067/NAVOC-318NT,,AVHRR NAVOCEANO Level 3 18km Multi-Channel SST Nighttime,A 60-Year Time Series Analyses of the Upwelling along the Portuguese Coast,Water,2019,
10.1029/2020MS002192,10.5067/GPM/IMERG/MONTH/3B,,GPM IMERG Final Precipitation L3 1 month 0.1 degree x 0.1 degree V06,A Baseline for Global Weather and Climate Simulations at 1 km Resolution,Journal of Advances in Modeling Earth Systems,2020,
10.1029/2020MS002192,10.5067/GPM/IMERG/3B-MONTH/06,,GPM IMERG Final Precipitation L3 1 month 0.1 degree x 0.1 degree V06,A Baseline for Global Weather and Climate Simulations at 1 km Resolution,Journal of Advances in Modeling Earth Systems,2020,
10.5194/hess-25-2663-2021,10.5067/MODIS/MOD13A2.006,MOD13A2,MODIS/Terra Vegetation Indices 16-Day L3 Global 1km SIN Grid V006,A Bayesian approach to understanding the key factors influencing temporal variability in stream water quality - A case study in the Great Barrier Reef catchments,,,
10.1016/j.rse.2007.03.031,10.3334/ORNLDAAC/747,,"BigFoot Leaf Area Index Surfaces for North and South American Sites, 2000-2003",A Bayesian network algorithm for retrieving the characterization of land surface vegetation,Remote Sensing of Environment,2008,
10.1016/j.rse.2007.03.031,10.3334/ORNLDAAC/748,,"BigFoot Land Cover Surfaces for North and South American Sites, 2000-2003",A Bayesian network algorithm for retrieving the characterization of land surface vegetation,Remote Sensing of Environment,2008,
10.1109/tgrs.2015.2442999,10.5067/MODIS/MOD15A2H.006,MOD15A2H,MODIS/Terra Leaf Area Index/FPAR 8-Day L4 Global 500m SIN Grid V006,A bayesian network-based method to alleviate the ill-posed inverse problem—a case study on leaf area index and canopy water content retrieval,,,
10.1139/X08-024,10.3334/ORNLDAAC/359,,BOREAS TE-23 Map Plot Data,A biophysical process model of tree mortality in surface fires,,2008,
10.1016/j.isprsjprs.2020.01.024,10.5067/MEASURES/SRTM/SRTMGL1.003,SRTMGL1,NASA Shuttle Radar Topography Mission Global 1 arc second V003,A blended census and multiscale remote sensing approach to probabilistic cropland mapping in complex landscapes,,,
10.1080/2150704X.2021.1875144,10.5067/MODIS/MOD17A2H.006,MOD17A2H,MODIS/Terra Gross Primary Productivity 8-Day L4 Global 500m SIN Grid V006,A brief evaluation of the MOD17A2H product over a pasture in northeast Brazil,,,
10.3390/rs9070736,10.5067/MODIS/MCD64A1.006,MCD64A1,MODIS/Terra+Aqua Direct Broadcast Burned Area Monthly L3 Global 500m SIN Grid V006,A burned area mapping algorithm for Chinese FengYun-3 MERSI satellite data,Remote Sensing,2017,
10.1080/01431161.2020.1826064,10.5067/MODIS/MCD64A1.006,MCD64A1,MODIS/Terra+Aqua Direct Broadcast Burned Area Monthly L3 Global 500m SIN Grid V006,A burned area mapping method for the FY-3D MERSI based on the single-temporal L1 data and multi-temporal daily active fire products,,,
10.1016/j.csr.2015.07.006,10.5067/GHG1S-4FP01,,GHRSST Level 4 G1SST Global Foundation Sea Surface Temperature Analysis,A case study of large phytoplankton blooms off the New Jersey coast with multi-sensor observations,Continental Shelf Research,2015,
10.1007/s00024-020-02541-w,10.5067/QL0PGBK2CYJS,,"instM_2d_int_Nx: MERRA 2D IAU Diagnostic, Vertical Integrals and Budget Terms, Monthly Mean (2/3x1/2L1) Version 5.2.0",A Case Study on Assessing Cumulonimbus Induced Flight Vulnerabilities Over the Nepalese Himalayan Terrain,Pure and Applied Geophysics,2020,
10.5194/nhess-20-3439-2020,10.5067/MODIS/MOD13Q1.006,MOD13Q1,MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid V006,A classification scheme to determine wildfires from the satellite record in the cool grasslands of southern Canada—Considerations for fire occurrence modelling and warning criteria,,,
10.5194/nhess-20-3439-2020,10.5067/MODIS/MOD14A1.006,MOD14A1,MODIS/Terra Thermal Anomalies/Fire Daily L3 Global 1km SIN Grid V006,A classification scheme to determine wildfires from the satellite record in the cool grasslands of southern Canada—Considerations for fire occurrence modelling and warning criteria,,,
10.5194/nhess-20-3439-2020,10.5067/MODIS/MYD13Q1.006,MYD13Q1,MODIS/Aqua Vegetation Indices 16-Day L3 Global 250m SIN Grid V006,A classification scheme to determine wildfires from the satellite record in the cool grasslands of southern Canada—Considerations for fire occurrence modelling and warning criteria,,,
10.5194/nhess-20-3439-2020,10.5067/MODIS/MYD14A1.006,MYD14A1,MODIS/Aqua Thermal Anomalies/Fire Daily L3 Global 1km SIN Grid V006,A classification scheme to determine wildfires from the satellite record in the cool grasslands of southern Canada—Considerations for fire occurrence modelling and warning criteria,,,
10.1007/s00035-014-0124-0,10.3334/ORNLDAAC/569,,Global Gridded Surfaces of Selected Soil Characteristics (IGBP-DIS),A climate-based model to predict potential treeline position around the globe,,2014,
10.1002/joc.6568,10.5067/MODIS/MOD11C2.006,MOD11C2,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 0.05Deg CMG V006,A climatology of surface–air temperature difference over the Tibetan Plateau—Results from multi-source reanalyses,,,
10.3390/atmos6111695,10.5067/MODIS/MCD12C1.006,MCD12C1,MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 0.05Deg CMG V006,A Cluster of CO2 change characteristics with GOSAT observations for viewing the spatial pattern of CO2 emission and absorption,,,
10.3390/atmos6111695,10.5067/MODIS/MOD17A3H.006,MOD17A3,MODIS/Terra Net Primary Production Yearly L4 Global 500m SIN Grid V006,A Cluster of CO2 change characteristics with GOSAT observations for viewing the spatial pattern of CO2 emission and absorption,,,
10.1016/j.rse.2014.03.004,10.7927/H4GH9FVG,,"Global Rural-Urban Mapping Project, Version 1 (GRUMPv1): Urban Extents Grid",A cluster-based method to map urban area from DMSP/OLS nightlights,Remote Sensing of Environment,2014,
10.1126/science.1212267,10.3334/ORNLDAAC/797,,Global N Cycle: Fluxes and N2O Mixing Ratios Originating from Human Activity,A Coherent Signature of Anthropogenic Nitrogen Deposition to Remote Watersheds of the Northern Hemisphere,Science,2011,
10.1186/s40663-021-00288-x,10.5067/ASTER/ASTGTM.003,ASTGTM,ASTER Global Digital Elevation Model V003,"A combination of climate, tree diversity and local human disturbance determine the stability of dry Afromontane forests",,2008,
