doi,location,geocode,latitude,longitude
10.1038/s41598-019-55847-8,Pacific Ocean,Pacific Ocean,-0.703107,-120.9375
10.5194/hess-21-1947-2017,Europe,أوروبا,51,10
10.1007/s00382-016-3327-9,North America,North America,51.0000002,-109
10.3390/rs8121026,Africa,Africa,11.5024338,17.7578122
10.1038/s41561-019-0393-8,South America,South America,-21.0002179,-61.0006565
10.1093/jpe/rtr001,the Candle Lake,"Candle Lake, Paddockwood No. 520, Saskatchewan, S0J 3E0, Canada",53.7459065,-105.2724445
10.3390/w11091739,ET,ኢትዮጵያ,10.2116702,38.6521203
10.1029/2012RG000389,Atlantic Ocean,المحيط الأطلسي,13.581921,-38.320312
10.3390/rs9010032,East Asia,"East Asia, Dapitan Street, Barangay 6, Zone 2, District 1, Pasay, Southern Manila District, Metro Manila, 1305, Philippines",14.5546203,120.9893544
10.1175/JHM-D-12-0168.1,Ohio Valley,"Valley, Columbiana County, Ohio, 44619, United States",40.8656144,-80.9481441
10.1002/gbc.20057,United States,United States,39.7837304,-100.445882
10.1371/journal.pone.0170727,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1080/01431161.2015.1104742,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1038/s41598-019-39942-4,arctic sea,"Arctic Trading Post, Sea World Drive, San Diego, San Diego County, California, 92109, United States",32.7652165,-117.2230828
10.1016/j.jmarsys.2018.04.001,Pacific,"Pacific, King County, Washington, United States",47.2640129,-122.2485492
10.1002/2015JG003271,Wisconsin,"Wisconsin, United States",44.4308975,-89.6884637
10.1080/2150704X.2013.781700,Arizona,"Arizona, United States",34.395342,-111.763275
10.1371/journal.pone.0206192,Athabasca River,"Athabasca River, T9S 1H3, Canada",55.1980385,-113.8700509
10.1155/2018/5404123,Lake Superior,"Lake Superior, United States",47.7144587,-88.2115407
10.1002/2016GL070821,Mississippi River,"Mississippi River, 56345, United States",39.548248,-91.153628
10.1080/10106049.2019.1608592,Southeast Asia,"Asia, Riemannstraße, Zentrum-Südost, Mitte, Leipzig, Sachsen, Deutschland",51.3305381,12.3786243
10.1016/j.rse.2018.12.029,United States,United States,39.7837304,-100.445882
10.1016/j.enggeo.2020.105523,Guwahati,"Guwahati, Kamrup Metropolitan, Assam, 781015, India",26.1805978,91.753943
10.1080/01431161.2019.1620971,China,中国,35.000074,104.999927
10.5194/bg-10-2915-2013,North America,North America,51.0000002,-109
10.1002/2016GL072327,New England,"New England, United States",44.2057083,-70.75378387
10.1016/j.rse.2016.07.023,Minnesota,"Minnesota, United States",45.9896587,-94.6113288
10.5194/esd-2-121-2011,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.rse.2016.03.027,Texas,"Texas, United States",31.16857,-99.683001
10.1016/j.rse.2017.03.009,North America,North America,51.0000002,-109
10.5194/bg-16-1505-2019,Denmark,Danmark,55.670249,10.3333283
10.1007/s13280-016-0866-6,West,"Western, West Kenya, Kenya",0.5090396,34.5731341
10.1029/2018JD029755,U.S.,"Unterer See, Bahnhof, Böblingen (Stadt), Böblingen, Landkreis Böblingen, Baden-Württemberg, 71032, Deutschland",48.6840674,9.009582476
10.1016/j.jag.2019.02.011,the Asia-Pacific,"Atari Asia Pacific, Bowden Street Cycleway, Macdonaldtown, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia",-33.90468435,151.1973788
10.1175/JCLI-D-12-00783.1,Europe,أوروبا,51,10
10.14358/PERS.81.11.873,South Asia,"Asia, Maynard Alley South, Little Saigon, International District/Chinatown, Seattle, King County, Washington, 98104, United States",47.5968685,-122.3241476
10.1016/j.ocemod.2014.07.002,the Labrador Sea,"Rua Mar do Labrador, Perus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 07748-405, Brasil",-23.3910399,-46.7346075
10.22146/ijg.33207,North,"Nord, Burkina Faso",13.4526455,-2.227736
10.1007/s12040-019-1092-y,the Dehradun valley,"happy valley, herneidel, Dehradun, Uttarakhand, 248179, India",30.4705177,78.0441499
10.3390/rs8080634,India,India,22.3511148,78.6677428
10.1016/j.jag.2015.01.008,the Caribbean Sea,"Nederlandse Caraïben, Curaçao, Nederland",12.1845,-68.66079226
10.1111/1752-1688.12374,Southwest,"Southwest, Cameroun",5.0577606,9.2289407
10.3390/w9040245,Switzerland,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
10.5194/bg-10-2011-2013,Australia,Australia,-24.7761086,134.755
10.1007/s12524-016-0614-1,India,India,22.3511148,78.6677428
10.1073/pnas.1719429115,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.5194/acpd-12-27219-2012,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1080/01431161.2018.1519642,Wyoming,"Wyoming, United States",43.1700264,-107.568534
10.1016/j.uclim.2017.12.003,Netherlands,Nederland,52.15517,5.38721
10.1016/j.rse.2009.11.014,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.3390/rs70911801,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.5194/bg-14-3685-2017,Europe,أوروبا,51,10
10.3390/rs70912314,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1007/s11629-014-3005-5,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.5194/bg-13-6015-2016,Alaska,"Alaska, United States",64.4459613,-149.680909
10.1007/s12517-014-1597-2,Al-OH,"Alley, Longstreth, Hocking County, Ohio, United States",39.498061,-82.219997
10.1016/j.rse.2017.10.015,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.5194/soil-2-403-2016,kauri,"Kauri, Khanna Tahsil, Ludhiana, Punjab, 141417, India",30.7239449,76.1895847
10.5194/tc-12-741-2018,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1021/es302017e,Asia,Asia,51.2086975,89.2343748
10.1002/hyp.10678,radon,"Radon, Écouves, Alençon, Orne, Normandie, France métropolitaine, 61250, France",48.51011675,0.08824565655
10.1002/2014WR015589,the Grand River,"Grand River, Municipality of the County of Richmond, Richmond County, Nova Scotia, Canada",45.6454634,-60.6618516
10.1002/eco.1602,the Southeastern USA,"Mac's The Hair Place, Southeastern Avenue, Bethel Creek, Wanamaker, Indianapolis, Marion County, Indiana, 44623, United States",39.705127,-86.011244
10.1002/2015JG003157,Asia,Asia,51.2086975,89.2343748
10.3390/rs70100512,Midwest,"Midwest, Natrona County, Wyoming, 82643, United States",43.411391,-106.280075
10.1016/j.ancene.2016.12.001,Sao Paulo,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.5506507,-46.6333824
10.5194/os-2019-86,Pacific,"Pacific, King County, Washington, United States",47.2640129,-122.2485492
10.1016/j.jag.2017.03.002,Costa Rica,Costa Rica,10.2735633,-84.0739102
10.3390/ijgi8010043,Atlantic,"Atlantic, Cass County, Iowa, 50022, United States",41.4036007,-95.0138776
10.5194/hess-23-465-2019,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1007/s12517-020-5058-9,Iran,ایران,32.6475314,54.5643516
10.1002/2017GL073979,USA,United States,39.7837304,-100.445882
10.1080/17538947.2016.1158876,US,United States,39.7837304,-100.445882
10.1016/j.jog.2018.10.003,the Caspian Sea,"Caspian Cove, Westmoorings by the Sea, Glencoe, Diego Martin, 110706, Trinidad and Tobago",10.6783307,-61.5607286
10.1016/j.csr.2014.03.012,Santos,"Santos, Região Imediata de Santos, Região Metropolitana da Baixada Santista, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.960833,-46.333889
10.1021/es802146j,U.S.,"Unterer See, Bahnhof, Böblingen (Stadt), Böblingen, Landkreis Böblingen, Baden-Württemberg, 71032, Deutschland",48.6840674,9.009582476
10.1016/j.jhydrol.2014.08.037,Priestley,"Priestley, Lincoln County, West Virginia, 25567, United States",38.2603739,-81.8367939
10.1016/j.rse.2019.111262,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1002/2017JG004073,USA,United States,39.7837304,-100.445882
10.2136/vzj2007.0119,Schenk,"Schenk, Leidschendam, Leidschendam-Voorburg, Zuid-Holland, Nederland, 2594XZ, Nederland",52.0982509,4.3793607
10.1002/2017JB014424,Central Valley,"Central Valley, San Joaquin County, California, 95201, United States",38,-121.4
10.1371/journal.pone.0201951,U.S.,"Unterer See, Bahnhof, Böblingen (Stadt), Böblingen, Landkreis Böblingen, Baden-Württemberg, 71032, Deutschland",48.6840674,9.009582476
10.5194/bg-15-159-2018,the Arabian Sea,"Auxiliary Building, Arabian Sea Drive, Seaview Gardens, Kingston, Saint Andrew, Surrey County, KGN11, Jamaica",18.0039388,-76.84275985
10.1111/j.1752-1688.1999.tb04231.x,US,United States,39.7837304,-100.445882
10.1038/s41598-018-27348-7,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.5194/isprs-archives-XLII-2-579-2018,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.3390/ijgi8120547,River Basin,"River Basin, East River, Chester District Municipality, Lunenburg County, Nova Scotia, Canada",44.585423,-64.16858091
10.3390/hydrology6010019,Colorado River Basin,"Oceans Behavioral Hospital Permian Basin, 3300, South FM 1788, West 1788 Industrial Park, Midland, Midland County, Texas, 79706, United States",31.92297415,-102.2223837
10.1109/Multi-Temp.2015.7245807,China,中国,35.000074,104.999927
10.1007/s10040-018-1863-6,the Central Valley,"Central Valley, Kilkea ED, The Municipal District of Athy, County Kildare, Leinster, R14 XE97, Éire / Ireland",52.9349385,-6.8758561
10.1016/j.jhydrol.2018.07.022,AST_08,"Ardennes, Grand Est, France métropolitaine, France",49.69801175,4.671600518
10.1002/2014JC010220,the South China Sea,"South China Sea, Tuba, Benguet, Cordillera Administrative Region, 2603, Philippines",16.3818126,120.5656448
10.1002/2016JD026001,River Basin,"River Basin, East River, Chester District Municipality, Lunenburg County, Nova Scotia, Canada",44.585423,-64.16858091
10.3390/rs8121002,Vietnam,Việt Nam,13.2904027,108.4265113
10.5194/bg-13-1071-2016,Atlantic,"Atlantic, Cass County, Iowa, 50022, United States",41.4036007,-95.0138776
10.1038/s41598-019-56115-5,China,中国,35.000074,104.999927
10.1073/pnas.1601085113,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.3137/ao.v450102,United States,United States,39.7837304,-100.445882
10.1080/01431161.2019.1693072,Brazil,Brasil,-10.3333333,-53.2
10.5194/essd-6-339-2014,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.geomorph.2015.02.037,Bengal,"Bengal, Shelby County, Indiana, United States",39.4735045,-85.9228997
10.1016/j.jag.2014.09.003,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.5194/bg-9-5007-2012,Peru,Perú,-6.8699697,-75.0458515
10.3390/rs11192201,Central Canada,"Central, Jasper Avenue NW, Downtown, Central Core, Edmonton, Edmonton (city), Alberta, T5J 3B1, Canada",53.5409965,-113.4923014
10.3390/rs9030256,the Mackenzie River,"The MacKenzie, 1190, Pipeline Road, River Springs, Coquitlam, Metro Vancouver Regional District, British Columbia, V3B 7T9, Canada",49.28314475,-122.7866001
10.1007/s12665-011-1398-9,the Toluca Valley,"Valley Spring Lane, Toluca Lake, Los Angeles, Los Angeles County, California, 91602-2121, United States",34.1467719,-118.3570874
10.1038/s41598-019-39896-7,Pacific sea,"Pacific Sea, Calle Ramon H Jurado, Punta Paitilla, San Francisco, Distrito Panamá, Panamá, 0833-0293, Panamá",8.977424,-79.51177635
10.1002/joc.5151,Southeast Asia,"Asia, Riemannstraße, Zentrum-Südost, Mitte, Leipzig, Sachsen, Deutschland",51.3305381,12.3786243
10.1175/JHM-D-14-0189.1,Canada,Canada,61.0666922,-107.991707
10.1007/s10040-019-02063-3,BF,Burkina Faso,12.0753083,-1.6880314
10.1016/j.geomorph.2019.06.012,Tamburco,"Tamburco, Abancay, Apurímac, Perú",-13.6219635,-72.8732864
10.1016/j.jhydrol.2016.03.063,Santa-Clara,"Santa Clara County, California, United States",37.2333253,-121.6846349
10.1080/1747423X.2018.1533042,India,India,22.3511148,78.6677428
10.1007/s12524-013-0337-5,India,India,22.3511148,78.6677428
10.5194/bg-12-557-2015,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.5194/isprsarchives-XL-7-W3-231-2015,Peninsula,"The Peninsula Paris, 19, Avenue Kléber, Quartier de Chaillot, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75116, France",48.870745,2.2933072
10.3390/rs10060889,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.gecco.2016.01.005,Indonesia,Indonesia,-2.4833826,117.8902853
10.1073/pnas.1106784108,West Africa,"Young African Leaders Initiative Regional Leadership Center, West Africa, Accra (YALI), Greenhill Close, Green Hill, Accra, Okaikwei North Municipal District, Greater Accra Region, BOX LG25, Ghana",5.6343285,-0.2001247777
10.1029/2002GB001984,Mississippi River,"Mississippi River, 56345, United States",39.548248,-91.153628
10.1175/JPO-D-16-0283.1,Bengal,"Bengal, Shelby County, Indiana, United States",39.4735045,-85.9228997
10.1080/10106049.2015.1047415,Flowering,"Flowering Pond, Newburyport, Essex County, Massachusetts, United States",42.82810925,-70.92956856
10.1016/j.jhydrol.2019.04.070,United States,United States,39.7837304,-100.445882
10.1016/j.jag.2020.102066,UK,United Kingdom,54.7023545,-3.2765753
10.1071/WF13015,US,United States,39.7837304,-100.445882
10.1155/2013/812723,China,中国,35.000074,104.999927
10.1016/j.dsr2.2018.07.013,Antarctic,Antarctica,-79.4063075,0.3149312
10.1016/j.geomorph.2014.05.011,MT,Malta,35.8885993,14.4476911
10.1111/j.1752-1688.1999.tb04199.x,EF,"Bezirk Eferding, Oberösterreich, Österreich",48.34453785,13.9644258
10.1016/j.jag.2012.11.005,Tamil Nadu,"Tamil Nadu, India",10.9094334,78.3665347
10.1029/2010JG001348,USA,United States,39.7837304,-100.445882
10.1016/j.rse.2019.111306,Thailand,ประเทศไทย,14.8971921,100.83273
10.3390/rs8040297,Upper Midwest,"Midwest Red Arrow Mine, Palisade Rim Upper Loop Trail, Mesa County, Colorado, United States",39.1085921,-108.3181403
10.1016/j.ecoinf.2017.11.004,Argentina,Argentina,-34.9964963,-64.9672817
10.1002/ldr.2574,Pettitt,"Pettitt, Monterey County, California, 93930, United States",36.2021561,-121.1559738
10.1021/es302082p,OH,"Ohio, United States",40.2253569,-82.6881395
10.5194/bg-10-699-2013,North America,North America,51.0000002,-109
10.1016/j.jhydrol.2017.01.005,NE,中国,35.000074,104.999927
10.1007/s13131-015-0737-1,the Pacific Ocean,"The Beach House Restaurant at Lovers Point, Ocean View Boulevard, Pacific Grove Acres, Pacific Grove, Monterey County, California, 93950-2424, United States",36.6254702,-121.9169366
10.1016/j.jmarsys.2013.07.010,Southwest,"Southwest, Cameroun",5.0577606,9.2289407
10.1016/j.jag.2020.102053,Central Asia,"Central Asia, классический маршрут, Чон-Алайский район, Ошская область, Кыргызстан",39.4009215,72.8676621
10.1016/j.rse.2017.06.025,the Arid West,"ICRISAT, Dev Prakash Shastri Road, Delhi Cantonment, New Delhi, Patel Nagar Tehsil, West Delhi, Delhi, 110060, India",28.6264459,77.1609878
10.1073/pnas.1901642116,Scotland,"Scotland, United Kingdom",56.7861112,-4.1140518
10.5194/bg-12-6033-2015,Para,Perú,-6.8699697,-75.0458515
10.5194/bg-16-275-2019,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1080/01431161.2018.1519285,the United States,"The Summit, Guadalupe County, Texas, United States",29.6330078,-97.98859404
10.1007/s00382-018-4597-1,Japan,日本,36.5748441,139.2394179
10.1007/s12517-018-3936-1,the Krishna River,"Brigham's creek (Waiteputa), Whenuapai, Upper Harbour, Auckland, 0814, New Zealand / Aotearoa",-36.7842785,174.5993999
10.3390/rs10060869,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.3390/rs8050434,China,中国,35.000074,104.999927
10.1002/gbc.20087,North America,North America,51.0000002,-109
10.1371/journal.pone.0208928,United States,United States,39.7837304,-100.445882
10.1080/1747423X.2013.807314,South America,South America,-21.0002179,-61.0006565
10.3390/rs8060478,Mexico,México,23.553557,-102.2675158
10.1029/2019JC015281,Arctic Ocean,Arctic Ocean,83,-170
10.5194/bg-13-6363-2016,Australia,Australia,-24.7761086,134.755
10.1016/j.rse.2016.07.022,Russia,Россия,64.6863136,97.7453061
10.1016/j.rse.2009.02.008,Canada,Canada,61.0666922,-107.991707
10.1016/j.geomorph.2015.01.018,Greece,Ελλάς,38.9953683,21.9877132
10.3390/w9050333,Wami River,"Wami River, Morogoro, Coastal Zone, 237542, Tanzania",-6.2415534,38.1097962
10.1080/01431160500113393,Zambia,Zambia,-14.5189121,27.5589884
10.1029/2011WR011586,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1175/JHM-D-18-0113.1,the Hawaiian Islands,"South Hawaiian Drive, Elliot Shores, Gilbert, Maricopa County, Arizona, 85233, United States",33.3482194,-111.8177676
10.1080/01431161.2013.793865,Mongolia,Монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,46.8250388,103.8499736
10.1038/ngeo331,Canada,Canada,61.0666922,-107.991707
10.1002/2016GB005548,North America,North America,51.0000002,-109
10.1002/hyp.10253,Manitoba,"Manitoba, Canada",55.001251,-97.001038
10.1016/j.rse.2017.06.026,the Central Valley,"Central Valley, Kilkea ED, The Municipal District of Athy, County Kildare, Leinster, R14 XE97, Éire / Ireland",52.9349385,-6.8758561
10.1080/01431161.2014.995278,Malaysia,Malaysia,4.5693754,102.2656823
10.3390/rs6098088,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1002/2015WR016923,the Yangtze River,"The First Bend of Yangtze River, G353, 下海螺, 玉龙纳西族自治县, 丽江市, 云南省, 中国",26.8684743,99.9677172
10.1175/JCLI-D-17-0218.1,Pacific,"Pacific, King County, Washington, United States",47.2640129,-122.2485492
10.3390/rs11232745,Canada,Canada,61.0666922,-107.991707
10.1016/j.rse.2018.12.009,-0.6,"Zatoulaná věž, Bynovec, okres Děčín, Ústecký kraj, Severozápad, 40713, Česko",50.814972,14.267361
10.1016/j.rse.2019.111623,USA,United States,39.7837304,-100.445882
10.3390/rs10010044,East,"Est, Burkina Faso",12.2527495,0.8736106
10.1080/01431161.2017.1339924,Upper Tapajos River,"Avenida Tapajós, Redenção, Região Geográfica Imediata de Redenção, Região Geográfica Intermediária de Redenção, Pará, Região Norte, 68552-220, Brasil",-8.0451939,-50.0326797
10.1093/jpe/rts037,Japan,日本,36.5748441,139.2394179
10.1002/2014JD021644,China,中国,35.000074,104.999927
10.1016/j.rse.2014.07.012,Nebraska,"Nebraska, United States",41.7370229,-99.5873816
10.1016/j.rse.2003.11.016,Canada,Canada,61.0666922,-107.991707
10.1016/j.jhydrol.2014.09.081,United States,United States,39.7837304,-100.445882
10.1016/j.rse.2006.12.004,North America,North America,51.0000002,-109
10.1016/j.gloplacha.2012.12.002,Southeast Asia,"Asia, Riemannstraße, Zentrum-Südost, Mitte, Leipzig, Sachsen, Deutschland",51.3305381,12.3786243
10.5194/essd-8-415-2016,MD,"Maryland, United States",39.5162234,-76.9382069
10.1029/2010JG001544,Brazil,Brasil,-10.3333333,-53.2
10.1080/17445647.2015.1020892,Wisconsin,"Wisconsin, United States",44.4308975,-89.6884637
10.1002/2013GL058987,the North Pacific,"University of the Pacific, 3601, North Pacific Avenue, Stockton, San Joaquin County, California, 95211, United States",37.98042375,-121.3128472
10.1007/s00382-002-0255-7,Sahara,"Sehore, Madhya Pradesh, India",23.1156882,77.06623939
10.5194/bg-10-1963-2013,Greenland,Kalaallit Nunaat,77.6192349,-42.8125967
10.1029/2012JG001960,Canada,Canada,61.0666922,-107.991707
10.3390/w10070930,Europe,أوروبا,51,10
10.5194/essd-11-769-2019,Greenland,Kalaallit Nunaat,77.6192349,-42.8125967
10.1126/science.aar5836,Atlantic,"Atlantic, Cass County, Iowa, 50022, United States",41.4036007,-95.0138776
10.1002/2015GL064037,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.geoderma.2017.01.032,USA,United States,39.7837304,-100.445882
10.1016/j.rse.2018.03.032,California,"California, United States",36.7014631,-118.755997
10.1080/01431161.2015.1125556,Kansas,"Kansas, United States",38.27312,-98.5821872
10.1029/2012JD017498,Asia,Asia,51.2086975,89.2343748
10.1016/j.rse.2015.09.012,United States,United States,39.7837304,-100.445882
10.1016/j.rse.2019.03.034,North America,North America,51.0000002,-109
10.1016/j.ejrh.2019.100633,LDOC,"Osječki sportski aerodrom, Motocross staza, Gradska četvrt Industrijska četvrt, Osijek, Grad Osijek, Osječko-baranjska županija, 31220, Hrvatska",45.542648,18.63272458
10.1016/j.dsr2.2013.09.028,Bay of Biscay,Golfe de Gascogne / Golfo de Vizcaya,45.6292122,-3.677636384
10.1016/j.gecco.2017.10.001,the Indian Ocean,"The Indian Ocean, 4, High Street, Histon, South Cambridgeshire, Cambridgeshire, East of England, England, CB24 9JE, United Kingdom",52.2530804,0.1048979146
10.1029/2009WR007733,Sand Hills,"Sand Hills, South Brunswick, Middlesex County, New Jersey, 08852, United States",40.4062172,-74.5468216
10.1016/j.jag.2020.102064,Africa,Africa,11.5024338,17.7578122
10.1002/2014JD022483,Europe,أوروبا,51,10
10.3390/rs70911016,WUE,"Le Wue, Ville-au-Montois, Briey, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54620, France",49.4075393,5.7802898
10.3390/rs10050673,the Red Sea,"La Mer Rouge البحر الأحمر, Rue Nelson Mandela شارع نيلسون مانديلا, Lotissement de l'Aérogare حي المحطة المطار, Quartier 7 bis / حارة 7 أ, Balbala بلبالا, Djibouti جيبوتي, حي 7, Djibouti جيبوتي",11.5577494,43.1404894
10.5194/essd-10-2015-2018,Africa,Africa,11.5024338,17.7578122
10.5194/tc-11-101-2017,Sodankylä,"Sodankylä, Pohjois-Lapin seutukunta, Lappi, Lapin aluehallintovirasto, Manner-Suomi, Suomi / Finland",67.4189716,26.5902179
10.3390/geosciences8060192,USA,United States,39.7837304,-100.445882
10.1038/sdata.2018.28,North America,North America,51.0000002,-109
10.5194/bg-11-3739-2014,Alaska,"Alaska, United States",64.4459613,-149.680909
10.1002/2015GB005119,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.rse.2017.09.032,USA,United States,39.7837304,-100.445882
10.1155/2014/965936,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.3389/feart.2019.00123,Greenland,Kalaallit Nunaat,77.6192349,-42.8125967
